## Audio-driven

| Year | Title                                                        | Conference/Journal                                           | Code                                                         | Project                                                      | Keywords                                                     |
| 2026 | [LPIPS-AttnWav2Lip: Generic Audio-Driven lip synchronization for Talking Head Generation in the Wild](https://arxiv.org/abs/2602.00189v1) | ArXiv 2026 | [Code](https://github.com/FelixChan9527/LPIPS-AttnWav2Lip) | [Project](https://github.com/FelixChan9527/LPIPS-AttnWav2Lip) | Lip Sync, Audio-Driven, Talking Head, Latent |
| 2026 | [MIRRORTALK: Forging Personalized Avatars Via Disentangled Style and Hierarchical Motion Control](https://arxiv.org/abs/2601.22501v1) | Accepted to 2026 IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP 2026) |  |  | Avatar, ICASSP |
| 2026 | [EditYourself: Audio-Driven Generation and Manipulation of Talking Head Videos with Diffusion Transformers](https://arxiv.org/abs/2601.22127v1) | Project page: https://edit-yourself.github.io/ |  | [Project](https://edit-yourself.github.io/) | Diffusion, Audio-Driven, Talking Head |
| 2026 | [REST: Diffusion-based Real-time End-to-end Streaming Talking Head Generation via ID-Context Caching and Asynchronous Streaming Distillation](https://arxiv.org/abs/2512.11229v3) | 27 pages, 10 figures |  |  | Diffusion, Real-time, Streaming, Talking Head, Latent |
| 2026 | [SFQA: A Comprehensive Perceptual Quality Assessment Dataset for Singing Face Generation](https://arxiv.org/abs/2601.20385v1) | ArXiv 2026 |  |  | Talking Head |
| 2026 | [Uncertainty-Aware 3D Emotional Talking Face Synthesis with Emotion Prior Distillation](https://arxiv.org/abs/2601.19112v1) | Accepted by ICASSP 2026 |  | [Project](https://mrask999.github.io/UA-3DTalk) | 3D, Emotional, Talking Head, ICASSP, Attention |
| 2026 | [Audio-Driven Talking Face Generation with Blink Embedding and Hash Grid Landmarks Encoding](https://arxiv.org/abs/2601.18849v1) | ArXiv 2026 |  |  | Audio-Driven, Talking Head, Transformer |
| 2026 | [Speech-Aware Long Context Pruning and Integration for Contextualized Automatic Speech Recognition](https://arxiv.org/abs/2511.11139v2) | ArXiv 2026 |  |  | Speech-Driven, Attention |
| 2026 | [FunCineForge: A Unified Dataset Toolkit and Model for Zero-Shot Movie Dubbing in Diverse Cinematic Scenes](https://arxiv.org/abs/2601.14777v1) | ArXiv 2026 |  |  | Talking Head |
| 2026 | [Lost in Transcription: How Speech-to-Text Errors Derail Code Understanding](https://arxiv.org/abs/2601.15339v1) | ArXiv 2026 |  |  | Speech-Driven |
| 2026 | [HoverAI: An Embodied Aerial Agent for Natural Human-Drone Interaction](https://arxiv.org/abs/2601.13801v1) | This paper has been accepted for publication at LBR HRI 2026 conference |  |  | Talking Head |
| 2026 | [Exploring Talking Head Models With Adjacent Frame Prior for Speech-Preserving Facial Expression Manipulation](https://arxiv.org/abs/2601.12876v1) | Accepted by ACM Transactions on Multimedia Computing, Communications, and Applications |  |  | Speech-Driven, Talking Head |
| 2026 | [Lightning Fast Caching-based Parallel Denoising Prediction for Accelerating Talking Head Generation](https://arxiv.org/abs/2509.00052v2) | ArXiv 2026 |  |  | Talking Head, Attention, Latent |
| 2026 | [EditEmoTalk: Controllable Speech-Driven 3D Facial Animation with Continuous Expression Editing](https://arxiv.org/abs/2601.10000v1) | ArXiv 2026 |  |  | 3D, Speech-Driven |
| 2026 | [Now You See Me, Now You Don't: A Unified Framework for Expression Consistent Anonymization in Talking Head Videos](https://arxiv.org/abs/2601.11635v1) | ArXiv 2026 |  |  | Talking Head |
| 2026 | [MoCha:End-to-End Video Character Replacement without Structural Guidance](https://arxiv.org/abs/2601.08587v2) | 10 pages, 9 figures |  |  | Talking Head |
| 2026 | [JoyAvatar-Flash: Real-time and Infinite Audio-Driven Avatar Generation with Autoregressive Diffusion](https://arxiv.org/abs/2512.11423v2) | ArXiv 2026 |  |  | Diffusion, Real-time, Audio-Driven, Avatar |
| 2026 | [Efficient and Robust Video Defense Framework against 3D-field Personalized Talking Face](https://arxiv.org/abs/2512.21019v3) | ArXiv 2026 | [Code](https://github.com/Richen7418/VDF) | [Project](https://github.com/Richen7418/VDF) | 3D, Talking Head, Attention |
| 2026 | [SyncLipMAE: Contrastive Masked Pretraining for Audio-Visual Talking-Face Representation](https://arxiv.org/abs/2510.10069v2) | ArXiv 2026 |  |  | Audio-Driven, Talking Head |
| 2026 | [SoulX-FlashTalk: Real-Time Infinite Streaming of Audio-Driven Avatars via Self-Correcting Bidirectional Distillation](https://arxiv.org/abs/2512.23379v3) | 12 pages, 6 figures |  |  | Real-time, Streaming, Audio-Driven, Avatar, Attention, VAE |
| 2026 | [Do You Have Freestyle? Expressive Humanoid Locomotion via Audio Control](https://arxiv.org/abs/2512.23650v2) | ArXiv 2026 |  |  | Audio-Driven |
| 2026 | [Avatar Forcing: Real-Time Interactive Head Avatar Generation for Natural Conversation](https://arxiv.org/abs/2601.00664v1) | Project page: https://taekyungki.github.io/AvatarForcing/ |  | [Project](https://taekyungki.github.io/AvatarForcing/) | Real-time, Avatar |
| 2025 | [From Inpainting to Editing: A Self-Bootstrapping Framework for Context-Rich Visual Dubbing](https://arxiv.org/abs/2512.25066v1) | Project Page https://hjrphoebus.github.io/X-Dub |  | [Project](https://hjrphoebus.github.io/X-Dub) | Transformer |
| 2025 | [SLM-TTA: A Framework for Test-Time Adaptation of Generative Spoken Language Models](https://arxiv.org/abs/2512.24739v1) | ArXiv 2025 |  |  | Talking Head |
| 2025 | [MACE-Dance: Motion-Appearance Cascaded Experts for Music-Driven Dance Video Generation](https://arxiv.org/abs/2512.18181v2) | ArXiv 2025 |  | [Project](https://macedance.github.io/) | Transformer, Mamba |
| 2025 | [Knot Forcing: Taming Autoregressive Video Diffusion Models for Real-time Infinite Interactive Portrait Animation](https://arxiv.org/abs/2512.21734v2) | Project Page: https://humanaigc.github.io/knot_forcing_demo_page/ |  | [Project](https://humanaigc.github.io/knot_forcing_demo_page/) | Diffusion, Real-time, Portrait Animation, Attention |
| 2025 | [PTalker: Personalized Speech-Driven 3D Talking Head Animation via Style Disentanglement and Modality Alignment](https://arxiv.org/abs/2512.22602v1) | ArXiv 2025 |  |  | 3D, Speech-Driven, Talking Head, Attention |
| 2025 | [ALIVE: An Avatar-Lecture Interactive Video Engine with Content-Aware Retrieval for Real-Time Interaction](https://arxiv.org/abs/2512.20858v1) | ArXiv 2025 |  |  | Real-time, Avatar |
| 2025 | [TAVID: Text-Driven Audio-Visual Interactive Dialogue Generation](https://arxiv.org/abs/2512.20296v1) | Project page: https://mm.kaist.ac.kr/projects/TAVID |  | [Project](https://mm.kaist.ac.kr/projects/TAVID) | Audio-Driven |
| 2025 | [EmoCAST: Emotional Talking Portrait via Emotive Text Description](https://arxiv.org/abs/2508.20615v2) | ArXiv 2025 | [Code](https://github.com/GVCLab/EmoCAST) | [Project](https://github.com/GVCLab/EmoCAST) | Emotional, Portrait Animation, Talking Head, Attention |
| 2025 | [FlashLips: 100-FPS Mask-Free Latent Lip-Sync using Reconstruction Instead of Diffusion or GANs](https://arxiv.org/abs/2512.20033v1) | ArXiv 2025 |  |  | Diffusion, Transformer, GAN, Latent |
| 2025 | [Seedance 1.5 pro: A Native Audio-Visual Joint Generation Foundation Model](https://arxiv.org/abs/2512.13507v3) | Seedance 1.5 pro Technical Report |  |  | Audio-Driven, Transformer, Reinforcement Learning |
| 2025 | [In-Context Audio Control of Video Diffusion Transformers](https://arxiv.org/abs/2512.18772v1) | ArXiv 2025 |  |  | Diffusion, Audio-Driven, Transformer, Attention |
| 2025 | [GeoSense-AI: Fast Location Inference from Crisis Microblogs](https://arxiv.org/abs/2512.18225v1) | ArXiv 2025 |  |  | Talking Head |
| 2025 | [SynergyWarpNet: Attention-Guided Cooperative Warping for Neural Portrait Animation](https://arxiv.org/abs/2512.17331v1) | Submitted to ICASSP 2026 |  |  | Portrait Animation, ICASSP, Attention |
| 2025 | [ConsistTalk: Intensity Controllable Temporally Consistent Talking Head Generation with Diffusion Noise Search](https://arxiv.org/abs/2511.06833v2) | AAAI26 poster |  |  | Diffusion, Talking Head, AAAI, Knowledge Distillation |
| 2025 | [FlashPortrait: 6x Faster Infinite Portrait Animation with Adaptive Latent Prediction](https://arxiv.org/abs/2512.16900v1) | ArXiv 2025 |  |  | Portrait Animation, Transformer, Latent |
